A,B,C,D,E,F,G,H
3,4,4,4,3,0,0,0
3,7,4,4,4,0,0,0
3,7,3,3,3,0,0,0
3,4,2,3,2,1,1,1
3,7,3,3,3,0,0,0
5,2,1,4,2,0,0,0
4,6,3,3,2,0,0,0
3,6,3,3,3,0,0,0
3,6,2,3,2,1,0,0
4,4,4,3,3,0,0,0
5,3,1,2,1,0,0,0
4,4,4,4,2,0,0,0
3,5,2,3,2,0,0,0
3,5,3,3,3,0,0,0
5,6,3,3,3,0,0,0
3,7,3,3,3,0,0,0
4,6,2,2,3,0,0,0
3,4,2,4,4,0,0,0
4,2,1,1,1,0,0,0
4,4,4,2,3,0,0,0
4,5,3,3,3,0,0,0
3,4,2,3,2,0,0,0
4,3,4,4,3,0,0,0
